year,month,Kinneret_Level_end_of_month,tmp_air_max,rain_mm,tmp_air_min,sns_drt,rain_day,Date,Change_from_last_month
1969,2,-208.91,18.310669129720857,334.15903983874415,8.194848111658455,401.57142857142856,14,1969-02-01,-0.6099999999999852
1969,3,-208.81,20.795558557126967,1117.7422575213354,10.826564054122452,318.96774193548384,18,1969-03-01,0.09999999999999432
1969,4,-208.89,21.862055890044395,295.5711917645565,10.252892416225752,527.6,14,1969-04-01,-0.07999999999998408
1969,5,-208.95,29.06959758819437,45.05943627450981,15.877323263355523,588.9677419354839,10,1969-05-01,-0.060000000000002274
1969,6,-208.93,32.62766754850089,0.0,19.292861891195223,726.8,0,1969-06-01,0.01999999999998181
1969,7,-209.11,31.45180621529009,0.0,19.1291286383867,715.3548387096774,0,1969-07-01,-0.18000000000000682
1969,8,-209.29,32.39511919965943,0.0,19.79523928817032,665.0,0,1969-08-01,-0.1799999999999784
1969,9,-209.41,32.784783464088065,44.56818181818182,20.099924131849424,579.5,4,1969-09-01,-0.12000000000000455
1969,10,-209.5,28.06488267387044,710.6850958043576,16.9681239001595,453.2903225806452,18,1969-10-01,-0.09000000000000341
1969,11,-209.52,24.071824040157374,772.9264037044234,12.18011965811966,485.0,8,1969-11-01,-0.020000000000010232
1969,12,-209.5,19.378527199533874,958.7667101401105,9.550753482705652,346.06451612903226,18,1969-12-01,0.020000000000010232
1970,1,-209.26,16.934096493050887,2007.185143702356,8.400295505384493,281.61290322580646,23,1970-01-01,0.2400000000000091
1970,2,-209.23,18.75894851043866,635.1094694956327,7.7149917898193765,439.92857142857144,13,1970-02-01,0.030000000000001137
1970,3,-208.97,21.518723449335244,1211.6312613890223,10.374271412680756,406.83870967741933,16,1970-03-01,0.2599999999999909
1970,4,-208.9,25.901584564860435,301.80460753891253,12.39439556084027,552.0,6,1970-04-01,0.06999999999999318
1970,5,-209.0,28.569739392976327,59.14431057563588,14.042941128002306,661.9354838709677,5,1970-05-01,-0.09999999999999432
1970,6,-209.2,30.816417624521076,0.0,17.45050574712644,715.4,0,1970-06-01,-0.19999999999998863
1970,7,-209.48,31.546530977982588,0.0,19.637212638019086,690.9677419354839,0,1970-07-01,-0.28000000000000114
1970,8,-209.81,32.425833230338235,23.93076923076923,20.351704274590812,674.516129032258,2,1970-08-01,-0.3300000000000125
1970,9,-210.06,31.257934865900385,64.5448717948718,18.89455938697318,577.2,5,1970-09-01,-0.25
1970,10,-210.31,27.819613584125268,329.734552563907,14.587402850270475,519.8709677419355,8,1970-10-01,-0.25
1970,12,-210.49,16.488947217338264,1195.3350199659149,6.938485354097145,380.51612903225805,19,1970-12-01,-0.18000000000000682
1971,1,-210.48,18.85234996557021,1316.0783276833527,9.118290693362994,336.2903225806452,15,1971-01-01,0.010000000000019327
1971,2,-209.8,16.460230764719686,2463.5094666889945,7.299828465869105,322.39285714285717,24,1971-02-01,0.6799999999999784
1971,3,-209.41,20.429542966611937,567.4767406463243,8.887901754447917,440.03225806451616,18,1971-03-01,0.3900000000000148
1971,4,-208.95,21.20871510673235,1690.022117974406,10.28376102292769,460.4,16,1971-04-01,0.46000000000000796
1971,5,-208.9,29.111401557285873,4.9625,15.118043858255202,658.258064516129,2,1971-05-01,0.04999999999998295
1971,6,-209.01,30.98570114942529,44.84210526315789,17.88712643678161,688.3,3,1971-06-01,-0.10999999999998522
1971,7,-209.27,31.059793950950798,0.0,19.498156682027656,698.1290322580645,0,1971-07-01,-0.2600000000000193
1971,8,-209.48,32.56430193192645,4.6,19.848656976626323,634.6666666666666,1,1971-08-01,-0.20999999999997954
1971,9,-209.76,31.48367724867725,0.0,19.359303350970023,577.2,0,1971-09-01,-0.28000000000000114
1971,10,-209.98,27.63813947015096,145.08177602436322,14.456094993894991,530.2,9,1971-10-01,-0.21999999999999886
1971,11,-210.1,22.237324393358886,671.2214247268748,11.618399014778324,364.6,17,1971-11-01,-0.12000000000000455
1971,12,-209.9,15.16206552706553,1826.9827162629429,7.097508784425452,239.6,26,1971-12-01,0.19999999999998863
1972,1,-209.71,15.403029100529098,1111.8837480929285,6.085553859720526,350.0,19,1972-01-01,0.18999999999999773
1972,2,-209.35,15.730587484035762,1279.0366521822982,5.864828498449189,418.9655172413793,14,1972-02-01,0.36000000000001364
1972,3,-209.15,19.334982997886218,1100.237916362719,8.729239040529363,372.96774193548384,20,1972-03-01,0.19999999999998863
1972,4,-209.04,25.95428571428572,462.48422975449756,13.061175892009222,461.8,13,1972-04-01,0.11000000000001364
1972,5,-209.14,26.801190476190484,93.91430878552974,14.249476702508957,568.4516129032259,13,1972-05-01,-0.09999999999999432
1972,6,-209.37,30.148456790123458,116.49363636363636,17.78950142450142,652.4,7,1972-06-01,-0.2300000000000182
1972,7,-209.72,30.85304218362283,6.833333333333334,19.609658395368076,680.9032258064516,2,1972-07-01,-0.3499999999999943
1972,8,-210.07,32.625719143461076,0.0,20.094136568330118,666.3870967741935,0,1972-08-01,-0.3499999999999943
1972,9,-210.34,32.48692782526117,11.674999999999999,19.440435897435897,605.8,4,1972-09-01,-0.27000000000001023
1972,10,-210.6,29.687148633922835,234.66998121460765,16.996642574868382,433.93548387096774,12,1972-10-01,-0.2599999999999909
1972,11,-210.77,23.00450617283951,622.2006873942182,11.550370370370368,388.4,14,1972-11-01,-0.17000000000001592
1972,12,-210.88,16.59758064516129,939.4515574037246,5.118449131513647,368.7096774193548,13,1972-12-01,-0.10999999999998522
1973,1,-210.79,16.31947890818859,1468.3852021176701,5.586011579818032,370.83870967741933,16,1973-01-01,0.09000000000000341
1973,2,-210.69,20.023305860805863,311.2634528223566,8.02117155067155,421.07142857142856,14,1973-02-01,0.09999999999999432
1973,3,-210.34,19.606377018043684,982.435946473145,8.234501424501424,492.4,15,1973-03-01,0.3499999999999943
1973,4,-210.25,23.534571794871795,257.277125282197,10.90457435897436,552.6,13,1973-04-01,0.09000000000000341
1973,5,-210.28,28.245037220843678,126.05344932844933,14.187310173697268,648.5806451612904,6,1973-05-01,-0.030000000000001137
1973,6,-210.5,30.183023872679048,10.0,17.047214854111406,729.3103448275862,1,1973-06-01,-0.21999999999999886
1973,7,-210.84,32.92929032258065,0.0,20.03161290322581,708.7741935483871,0,1973-07-01,-0.3400000000000034
1973,8,-211.16,32.2825430107527,0.0,20.34516129032258,666.7741935483871,0,1973-08-01,-0.3199999999999932
1973,9,-211.38,32.40546376811594,9.16,19.65000724637681,596.3478260869565,1,1973-09-01,-0.21999999999999886
1973,10,-211.71,30.27274182139699,18.605820105820104,16.811592396109635,544.551724137931,5,1973-10-01,-0.3300000000000125
1973,11,-211.69,20.976538461538464,1470.540993688613,10.557179487179488,406.2,19,1973-11-01,0.020000000000010232
1973,12,-211.73,17.97167539748185,548.3066046467317,8.262719419171034,365.03225806451616,17,1973-12-01,-0.03999999999999204
1974,1,-211.0,13.47717948717949,3122.493426732251,6.085923076923078,278.8,23,1974-01-01,0.7299999999999898
1974,3,-209.95,20.234158808932996,610.6609652493529,10.04611910669975,360.96774193548384,16,1974-03-01,1.0500000000000114
1974,4,-209.55,22.68253888888889,591.8916327848526,11.064794444444441,434.4,10,1974-04-01,0.39999999999997726
1974,5,-209.59,27.392069892473117,13.791666666666666,13.364247311827954,628.258064516129,2,1974-05-01,-0.03999999999999204
1974,6,-209.75,30.210425824175825,5.0,17.487686813186816,684.2142857142857,1,1974-06-01,-0.1599999999999966
1974,10,-210.85,30.36617553533683,20.509615384615383,17.170441181876665,500.1290322580645,3,1974-10-01,-1.0999999999999943
1974,12,-210.98,16.642551236099624,2593.0351604643533,8.103175259626873,287.2258064516129,26,1974-12-01,-0.12999999999999545
1976,1,-211.35,15.61281423804227,1090.603839513094,7.07505376344086,336.5806451612903,22,1976-01-01,-0.37000000000000455
1976,2,-210.9,14.815935960591132,1320.6317062373778,6.428544816261819,336.2068965517241,22,1976-02-01,0.44999999999998863
1976,3,-210.28,19.084009393152883,896.3616702427378,8.312866147571375,395.4193548387097,18,1976-03-01,0.6200000000000045
1976,4,-209.94,22.622997293681195,511.39332142055184,11.526197743720731,499.2,14,1976-04-01,0.3400000000000034
1976,5,-209.95,27.47346257746702,106.38965290680574,14.791824249165744,582.5806451612904,13,1976-05-01,-0.009999999999990905
1976,6,-210.16,29.42860351433479,3.166666666666667,17.02360080906454,674.2758620689655,2,1976-06-01,-0.21000000000000796
1976,7,-210.52,30.414123423439325,0.0,19.12673959851379,670.8387096774194,0,1976-07-01,-0.36000000000001364
1976,8,-210.89,31.130182525982665,0.0,19.729153558456503,631.741935483871,0,1976-08-01,-0.3699999999999761
1976,9,-211.09,29.95005002035003,25.80779220779221,18.01693257359924,568.8,5,1976-09-01,-0.20000000000001705
